#StageNum, TotalCellCount, StemCount, DiffCount, MutantCount
163 9740 4323 5417 0 
164 9743 4321 5421 0 
165 9742 4318 5424 0 
166 9739 4316 5423 0 
167 9739 4315 5423 0 
168 9739 4314 5424 0 
169 9739 4314 5424 0 
170 9738 4311 5426 0 
171 9738 4308 5430 0 
172 9737 4305 5432 0 
173 9737 4303 5434 0 
174 9737 4301 5436 0 
175 9739 4300 5438 0 
176 9739 4299 5439 0 
177 9737 4299 5438 0 
178 9738 4298 5440 0 
179 9738 4296 5441 0 
180 9739 4295 5444 0 
181 9738 4294 5444 0 
182 9738 4294 5444 0 
183 9737 4292 5445 0 
184 9740 4294 5446 0 
185 9738 4291 5446 0 
186 9736 4290 5446 0 
187 9735 4288 5446 0 
188 9736 4288 5448 0 
189 9735 4287 5447 0 
190 9735 4287 5447 0 
191 9735 4287 5448 0 
192 9737 4286 5450 0 
193 9737 4283 5453 0 
194 9738 4284 5453 0 
195 9737 4283 5453 0 
196 9736 4281 5455 0 
197 9737 4280 5456 0 
198 9738 4281 5456 0 
199 9737 4278 5458 0 
200 9738 4279 5458 0 
201 9738 4279 5459 0 
202 9738 4277 5461 0 
203 9736 4275 5460 0 
204 9737 4274 5463 0 
205 9735 4271 5463 0 
206 9737 4272 5465 0 
207 9735 4270 5465 0 
208 9737 4269 5467 0 
209 9738 4270 5467 0 
210 9738 4271 5467 0 
211 9738 4270 5468 0 
212 9737 4267 5470 0 
213 9739 4267 5472 0 
214 9738 4265 5472 0 
215 9738 4264 5474 0 
216 9740 4265 5475 0 
217 9742 4264 5477 0 
218 9740 4263 5477 0 
219 9739 4262 5476 0 
220 9737 4262 5475 0 
221 9737 4261 5475 0 
222 9736 4262 5473 0 
223 9734 4260 5474 0 
224 9733 4258 5474 0 
225 9732 4257 5474 0 
226 9734 4256 5477 0 
227 9734 4254 5480 0 
228 9737 4254 5482 0 
229 9736 4252 5483 0 
230 9734 4250 5484 0 
231 9734 4251 5482 0 
232 9736 4251 5485 0 
233 9737 4250 5486 0 
234 9737 4250 5487 0 
235 9738 4249 5488 0 
236 9738 4251 5487 0 
237 9738 4251 5487 0 
238 9738 4252 5485 0 
